Месяц	Тип	Текст события	Ответ 1 (Успех)	О1 Деньги	О1 Дружба	О1 Знания	Ответ 2 (Провал)	О2 Деньги	О2 Дружба	О2 Знания	Это проверка?	Стат	Порог
Ноябрь	1	Одногруппник просит ваш готовый и уникальный чертеж по инженерной графике, чтобы просто «посмотреть».	Отдать чертеж (его спалят)	0	20	-10	Жестко отказать	0	-20	5	FALSE	None	0
Ноябрь	1	Ваш телефон разрядился, и вы забыли вовремя отключить платную подписку на облачный сервер для лаб.	Оплатить долг серверу	-2000	0	5	Забить и потерять базу данных	0	0	-20	FALSE	None	0
Декабрь	1	Зачетная неделя горит. Сосед по общаге врубил музыку на всю мощность и празднует день рождения.	Устроить скандал	0	-20	15	Пойти праздновать с ним	-2000	15	-20	FALSE	None	0
Декабрь	1	Вы не успели сдать курсовой проект по информационным технологиям в основной дедлайн.	Купить готовый проект	-5000	0	-20	Просить отсрочку (минус баллы)	0	-5	10	FALSE	None	0
Декабрь	1	Перед Новым годом вы сильно простудились. Проекты горят, голова не соображает.	Купить кучу антибиотиков	-2500	0	5	Пытаться кодить с температурой	0	0	-20	FALSE	None	0
Декабрь	1	Староста собирает штрафной фонд с тех, кто не дежурил в аудитории во время семестра.	Сдать деньги в фонд	-1500	10	0	Пойти на конфликт с группой	0	-25	0	FALSE	None	0
Январь	1	Во время экзамена по физике у вас в кармане зазвонил телефон. Препод заметил это.	Сдать пустой лист и уйти	0	0	-20	Пытаться оправдаться	0	-10	-10	FALSE	None	0
Январь	1	После тяжелого экзамена группа зовет в караоке, но завтра утром — консультация по самому сложному предмету.	Поехать тусить с группой	-4000	20	-20	Остаться учить билеты	0	-15	15	FALSE	None	0
Январь	1	Вы провалили первый экзамен сессии. Настроение на нуле, опускаются руки.	Поехать домой заедать стресс	-3000	-10	-10	Запереться в лабе и ботать	0	-15	20	FALSE	None	0
Январь	1	Из-за долга по одному зачету вас не допускают к основному экзамену. Нужно срочно бегать за преподом.	Покупать подарок преподу	-3000	0	0	Ждать общую пересдачу	0	-10	-15	FALSE	None	0
Февраль	1	Вы проспали собрание по распределению практик, и вам досталось самое худшее и унылое место.	Договориться о переводе	-2000	5	0	Смириться и страдать	0	-5	-15	FALSE	None	0
Февраль	1	На каникулах вы потратили слишком много, и на балансе карты остался абсолютный ноль.	Просить у родителей	-5000	-5	0	Сесть на жесткую диету	0	-10	-10	FALSE	None	0
Февраль	1	Компьютерный вирус зашифровал все ваши исходники по курсовой, бэкапов на GitHub не было.	Купить утилиту расшифровки	-3000	0	5	Писать всё заново с нуля	0	-10	-15	FALSE	None	0
Февраль	1	Из-за сильных морозов в общаге отключили отопление. Сидеть за ноутом невозможно — замерзают пальцы.	Купить обогреватель в комнату	-2500	10	0	Уехать греться к друзьям	-1000	10	-15	FALSE	None	0
Март	1	Группа решила сделать дорогой подарок преподавательнице на 8 марта и требует со всех крупную сумму.	Сдать деньги без споров	-2500	15	0	Отказаться сдавать	0	-25	0	FALSE	None	0
Март	1	Вы жестко поссорились с напарником по проекту, потому что он вообще ничего не делает, а дедлайн завтра.	Сделать всю работу самому	0	-20	20	Сдать недоделку и получить 3	0	0	-15	FALSE	None	0
Март	1	На Яузе поднялся сильный ветер, и у вас из рук выдуло готовую распечатанную графическую работу. Она испорчена.	Срочно перепечатать за кэш	-1500	0	0	Чертить заново руками	0	-10	10	FALSE	None	0
Март	1	Вы подхватили жесткий весенний авитаминоз. Нет сил учиться, постоянно клонит в сон.	Купить дорогие витамины	-2000	0	10	Забивать на учебу и спать	0	0	-20	FALSE	None	0
Апрель	1	Комендант общаги во время обхода нашла у вас запрещенный электрочайник в комнате. Пообещала выселить.	Оплатить официальный штраф	-3000	0	0	Отрабатывать уборкой территории	0	-15	-10	FALSE	None	0
Апрель	1	На носу сдача ИЗ по технологии программирования, но ваш жесткий диск на ноуте окончательно умер.	Купить новый SSD диск	-5000	0	5	Искать старый ПК у друзей	0	-15	-10	FALSE	None	0
Апрель	1	Одногруппники зовут отметить середину весны на шашлыках, но вы обещали помочь родителям.	Остаться помогать родителям	2000	-20	0	Поехать на шашлыки	-3000	20	-5	FALSE	None	0
Апрель	1	Вы опоздали на важную лабораторную работу, и препод заставил вас защищать её перед всей кафедрой.	Ботать всю ночь к защите	0	-10	20	Идти неподготовленным (на 3)	0	0	-15	FALSE	None	0
Май	1	Из-за майских праздников вы расслабились и полностью пропустили дедлайн по отправке курсовой на проверку.	Платить за ускоренную проверку	-3000	0	0	Получить выговор и штрафные баллы	0	-10	-15	FALSE	None	0
Май	1	Одногруппник попросил у вас взаймы денег «до стипендии», но в итоге проиграл их в автоматы и не может вернуть.	Забыть про долг и простить	-3000	10	0	Жестко требовать и разругаться	0	-25	0	FALSE	None	0
Май	1	Вы пролили энергетик прямо на свой конспект со всеми формулами перед финальным РК.	Купить распечатку у отличника	-1000	0	15	Пытаться вспомнить по памяти	0	0	-20	FALSE	None	0
Май	1	Деканат назначил внеплановую проверку посещаемости именно в тот день, когда вы решили остаться дома.	Написать объяснительную	0	-5	-10	Купить поддельную справку	-2000	0	0	FALSE	None	0
Июнь	1	Перед самым сложным экзаменом у вас отключили интернет в общаге за неуплату. Лекции не скачать.	Купить дорогой мобильный безлимит	-1500	0	15	Просить шпоры у дверей аудитории	0	10	-15	FALSE	None	0
Июнь	1	На экзамене вас поймали со шпорой. Препод принципиальный — грозит отправкой на комиссию.	Долго и унизительно умолять	0	-15	-10	Молча забрать зачетку и уйти	0	0	-20	FALSE	None	0
Июнь	1	Группа собирает деньги на выпускной альбом и подарок куратору за успешное окончание курса.	Скинуться со всеми	-4000	20	0	Сказать, что нет денег	0	-20	0	FALSE	None	0
Июнь	1	От переутомления на сессии вы перепутали время и пришли на экзамен на 3 часа позже.	Сдавать индивидуально комиссии	0	0	-15	Просить препода принять сейчас	0	-10	-10	FALSE	None	0
Июль	1	На летней практике вам поручили делать самую скучную рутинную работу (заполнять таблицы Excel).	Честно страдать и заполнять	0	-10	15	Написать скрипт (препод разозлится)	0	10	-10	FALSE	None	0
Июль	1	В разгар лета вы потеряли свой студенческий билет. Без него не пускают ни в ГЗ, ни в общагу.	Оплатить пошлину за дубликат	-1500	0	0	Ждать восстановления месяц	0	-15	-15	FALSE	None	0
Июль	1	Вы поехали на музыкальный фестиваль с друзьями и там у вас украли кошелек со всеми наличными.	Просить друзей докинуть на билет	-2000	-15	0	Идти пешком и автостопом	0	10	-10	FALSE	None	0
Июль	1	Из-за жары в комнате общаги испортился ваш холодильник, вся еда протухла.	Купить б/у холодильник	-5000	10	0	Выбросить и питаться всухомятку	0	-10	-10	FALSE	None	0
Август	1	На телефон пришло уведомление, что банк поднимает стоимость обслуживания вашей карты.	Оплатить комиссию за год	-1200	0	0	Закрыть карту и потерять кэшбэк	-2000	0	0	FALSE	None	0
Август	1	Друзья зовут поехать спонтанно в Питер на выходные, но билеты остались только купейные и дорогие.	Поехать и влезть в долги	-6000	20	-5	Остаться одному в Москве	0	-20	10	FALSE	None	0
Август	1	Перед началом учебы вам нужно пройти обязательный медосмотр, но очереди в студенческой поликлинике бесконечные.	Пройти платно без очередей	-3000	0	0	Стоять 3 дня в очередях	0	-10	-15	FALSE	None	0
Август	1	Вы случайно порвали свою любимую и единственную приличную куртку, в которой ходите в университет.	Купить новую куртку	-5000	0	0	Ходить в старой потрепанной	0	-15	0	FALSE	None	0
Сентябрь	3	Неофициальное посвящение первокурсников ИУ3 в баре. Старшаки обещают рассказать главные секреты выживания на кафедре.	Пойти со всеми	-2000	15	0	Учить матан в общаге	0	-5	15	FALSE	None	0
Сентябрь	3	Выбор старосты. Никто не хочет брать ответственность за журнал, контроль посещаемости и постоянное общение с деканатом.	Взять ответственность	0	10	5	Отсидеться в тишине	0	0	0	FALSE	None	0
Сентябрь	3	Запись в тренажерный зал. Абонемент стоит денег, но спина от постоянного сидения за компом уже болит.	Взять абонемент	-2000	10	5	Забить на спорт	0	-5	0	FALSE	None	0
Сентябрь	3	Сосед не понял лекцию и умоляет объяснить ему, как работают умные указатели в C++.	Помочь бесплатно	0	15	5	Взять с него деньги	1000	-5	5	FALSE	None	0
Октябрь	3	На носу РК1 по матану, но друзья зовут на крутой хакатон.	Ворваться на хакатон	-1000	10	15	Ботать к РК1	0	-5	20	FALSE	None	0
Октябрь	3	Тяжелый день настройки алгоритмов. В общаге предлагают скинуться на доставку огромной пиццы.	Скинуться на еду	-500	10	0	Есть свои макароны	0	-5	5	FALSE	None	0
Октябрь	3	Появилась отличная подработка на вечер — нужно настроить CI/CD пайплайн для небольшого проекта.	Взять проект	4000	-10	10	Отказаться ради сна	0	5	0	FALSE	None	0
Октябрь	3	Теплая осень. Друзья зовут взять самокаты и покататься толпой по набережной Яузы.	Поехать кататься	-1000	15	-10	Делать чертежи	0	-10	15	FALSE	None	0
Ноябрь	3	Преподаватель ищет толкового помощника для тестирования лаб по нейросетевым технологиям и PyTorch.	Согласиться	0	10	20	Отказаться	0	0	0	FALSE	None	0
Ноябрь	3	Открылась регистрация на профильный митап по разработке, но билеты платные.	Купить билет	-1500	10	15	Смотреть пиратки	0	-5	5	FALSE	None	0
Ноябрь	3	День рождения одногруппника. Планируется масштабная вечеринка, на которую скидывается вся группа.	Пойти в клуб	-3000	20	0	Поздравить в тг	0	-10	5	FALSE	None	0
Ноябрь	3	У друга жестко залагал ноут прямо перед сдачей ИЗ по физике, он просит твой компьютер на весь вечер.	Дать свой ноут	0	20	0	Отказать	0	-15	0	FALSE	None	0
Декабрь	3	Сбор денег на масштабный Новый год. Поток арендует большой лофт, обещают пригласить диджея.	Скинуться и пойти	-4000	25	-5	Ботать на автомат	0	-10	25	FALSE	None	0
Декабрь	3	Предлагают скинуться на покупку готовых ответов и шпор по физике у проверенных старшекурсников.	Скинуться	-500	10	-10	Писать самому	0	-5	20	FALSE	None	0
Декабрь	3	Срочный заказ на фрилансе — нужно дописать функционал кастомных UI-компонентов. Дедлайн горит.	Взять заказ	5000	-10	10	Спать перед зачетом	0	5	-5	FALSE	None	0
Декабрь	3	Сосед жестко заболел перед зачетной неделей. Нужно сбегать в аптеку и купить ему дорогие лекарства.	Купить лекарства	-1000	20	-5	Изолироваться	0	-10	10	FALSE	None	0
Январь	3	Сосед умоляет помочь написать шпаргалки по архитектуре ИС, иначе его точно отчислят на этой сессии.	Помочь соседу	0	15	5	Учить свои билеты	0	-10	15	FALSE	None	0
Январь	3	Отмечаем сдачу тяжелейшего экзамена в баре. Все гуляют на последние стипендиальные деньги.	В бар с группой	-2500	20	-5	Спать в общаге	0	-5	5	FALSE	None	0
Январь	3	Препод предлагает автомат, если перепишешь его код в строгом профессиональном стиле.	Делать рефакторинг	0	0	25	Сдавать по билетам	0	0	10	FALSE	None	0
Январь	3	Каникулы. Можно купить билеты на рейс в родной город к родственникам или остаться тусить в Москве.	Лететь в Ижевск	-5000	-10	0	Тусить в Москве	-3000	15	0	FALSE	None	0
Февраль	3	Возвращение с каникул. Привез полную сумку домашней еды и закруток, друзья уже сбегаются на запах.	Накормить всех	-1500	20	0	Съесть все самому	0	-10	0	FALSE	None	0
Февраль	3	Выбор темы для курсовой: взять хардкорную тему по машинному обучению или простую базу данных для галочки.	Взять сложную	0	-5	25	Взять халявную	0	10	-10	FALSE	None	0
Февраль	3	День святого Валентина. Нужно решить, тратиться ли на подарок и кино, или проигнорировать праздник.	Пойти на свидание	-3000	15	-5	Игнорировать	0	-5	10	FALSE	None	0
Февраль	3	Одногруппники предлагают расшарить на несколько человек платную премиум-подписку на музыкальный сервис.	Купить на всех	-1000	15	10	Слушать с рекламой	0	-5	-5	FALSE	None	0
Март	3	Крупная выставка в Экспоцентре. Отличный шанс пообщаться с HR из бигтех компании и найти стажировку.	Искать стажировки	-500	5	15	Собирать мерч	2000	10	-5	FALSE	None	0
Март	3	Первокуры умоляют помочь разобраться с командами git cherry-pick и git reset и готовы платить.	Репетировать за кэш	3000	0	15	Помочь по дружбе	0	20	10	FALSE	None	0
Март	3	8 марта. Опять непредвиденные траты на подарки для близких или режим жесткой экономии бюджета.	Купить подарки	-2000	15	0	Сэкономить	0	-15	5	FALSE	None	0
Март	3	Конфликт в общаге: комната заросла грязью, очередь соседей, но они игнорируют графики дежурств.	Убрать за всех	0	15	-5	Жестко ругаться	0	-15	0	FALSE	None	0
Апрель	3	Традиционный весенний субботник. Деканат грозится карами для тех, кто не придет мести двор университета.	Пойти убирать	0	20	-5	Спрятаться в лабе	0	-10	15	FALSE	None	0
Апрель	3	В библиотеке проходит крутая лекция по экстремальному программированию.	Пойти на лекцию	-1000	15	-10	Делать ДЗ	0	-5	20	FALSE	None	0
Апрель	3	Друг зовет в стартап делать крутое приложение с генеративной музыкой, но денег пока не платят.	Писать код за идею	0	20	15	Искать работу за кэш	5000	-10	5	FALSE	None	0
Апрель	3	Стартует студенческий конкурс программистов. Требуется время на подготовку, но призы отличные.	Участвовать	0	-5	20	Забить на конкурс	0	5	-5	FALSE	None	0
Май	3	Майские праздники. Ребята арендовали беседку для шашлыков в парке, но курсовая сама себя не напишет.	Шашлыки в лесу	-2000	20	-10	Писать курсовую	0	-10	20	FALSE	None	0
Май	3	РК2 наступает на пятки. Есть вариант скинуться на ответы и списать, или ночевать в обнимку с конспектами.	Купить ответы	-1000	5	-15	Учить ночами	0	-10	20	FALSE	None	0
Май	3	Выгодная халтура на выходные: заказчику нужно срочно внедрить новое API в его приложение.	Взять заказ	4000	-10	10	Помочь другу с кодом	0	20	15	FALSE	None	0
Май	3	Сосед по комнате просит крупную сумму в долг, клянется вернуть все с первой же летней стипендии.	Дать в долг	-3000	25	0	Отказать	0	-20	0	FALSE	None	0
Июнь	3	В сети появился слив ответов на сложнейший экзамен по сетям. Цена кусается, но риск вылететь велик.	Скинуться на ответы	-2000	15	-10	Заботать самому	0	-10	20	FALSE	None	0
Июнь	3	Сессия закрыта! Грандиозная тусовка в честь окончания первого курса и выживания в универе.	Гулять на все деньги	-5000	25	-5	Пойти спать	0	-10	5	FALSE	None	0
Июнь	3	Летний геймдев-хакатон. Можно запилить игру на Unity и сорвать призовой фонд.	Собрать команду	-1000	15	20	Просто отдыхать	0	0	-5	FALSE	None	0
Июнь	3	Первокурсник в панике готов заплатить хорошие деньги, чтобы ты написал за него финальную лабу.	Взять деньги за код	3000	0	10	Отказаться	0	5	5	FALSE	None	0
Июль	3	Друзья предлагают поехать дикарями с палатками и гитарами на целую неделю подальше от цивилизации.	Поехать с друзьями	-4000	25	0	Найти летнюю работу	10000	-15	10	FALSE	None	0
Июль	3	Летняя практика на кафедре. Можно честно ходить каждый день или договориться за презент.	Честно ходить	0	0	15	Проставить фиктивно	0	10	0	FALSE	None	0
Июль	3	Комендант общаги требует сделать косметический ремонт в комнате, нужно скидываться на обои и краску.	Скинуться на обои	-2000	20	0	Жить в обшарпанной	0	-10	0	FALSE	None	0
Июль	3	Знакомые предлагают проехать на велосипедах весь Зеленое Кольцо Москвы, нужны свободные выходные.	Поехать на маршрут	-1500	20	0	Отдыхать дома	0	-5	10	FALSE	None	0
Август	3	Ноут еле тянет IDE, нужно решать: брать новую технику к учебе или оставить деньги на развлечения.	Купить мощный ноут	-8000	0	25	Оставить на отдых	0	15	-10	FALSE	None	0
Август	3	Встреча группы в Москве перед началом учебы. Все делятся впечатлениями о прошедшем лете.	Пойти в бар	-3000	20	0	Кодить дома	0	-10	15	FALSE	None	0
Август	3	Распродажа мощной технической литературы. Шанс закупиться крутыми книгами по архитектуре и паттернам.	Скупить книги	-2500	0	20	Забить на книги	0	0	-5	FALSE	None	0
Август	3	Помощь первокурсникам ИУ3 с заселением в общежитие. Деканат это ценит, а первокуры — тем более.	Помочь с вещами	0	10	0	Игнорировать суету	0	0	0	FALSE	None	0
Сентябрь	2	Препод на первой лабе по C++ проводит внезапный блиц-опрос по синтаксису.	Получаете досрочный зачет по первой теме.	0	0	15	Вас отправляют учить базу и пересдавать.	0	0	-10	TRUE	Knowledge	15
Сентябрь	2	Распределяются лучшие места и комнаты в общежитии на этот год.	Старшекурсники помогли занять комнату с ремонтом.	0	10	0	Вас селят на худший этаж без удобств.	0	-10	0	TRUE	Friendship	15
Сентябрь	2	В книжном магазине распродажа редких и полезных учебников по алгоритмам.	Скупаете топовую литературу для учебы.	-4000	0	20	Читаете кривые сканы с экрана смартфона.	0	0	-5	TRUE	Money	12000
Сентябрь	2	Одногруппники выбирают, кого позвать в закрытый чат со сливами лаб.	Вас добавляют в конфликтный, но полезный чат.	0	15	5	Вас посчитали высокомерным и не позвали.	0	-15	0	TRUE	Friendship	20
Октябрь	2	На рынке электроники крупная распродажа б/у мониторов.	Покупаете второй монитор, кодить удобнее.	-8000	0	20	Остаетесь с маленьким экраном ноутбука.	0	0	-5	TRUE	Money	15000
Октябрь	2	Рубежный контроль (РК1) по дискретной математике. Списать нереально.	Сдаете задачи с первого раза на макс балл.	0	0	15	Завалили РК, тратите кэш на методички.	-1500	0	-10	TRUE	Knowledge	25
Октябрь	2	В ГЗ Бауманки потерялся ваш пропуск. Нужна помощь, чтобы пройти внутрь.	Одногруппник выносит свой и проводит вас.	0	10	0	Платите официальный штраф за утерю.	-1000	-5	0	TRUE	Friendship	25
Октябрь	2	Проводится отбор на факультатив по продвинутой веб-разработке.	Вас зачисляют на курс благодаря знаниям.	0	0	20	Не прошли входное тестирование.	0	0	-10	TRUE	Knowledge	30
Ноябрь	2	Вы не успели начертить схему по инжграфу, а пара уже через час.	Одногруппники дали свой чертеж для копии.	0	5	10	Никто не помог, получаете недопуск.	0	-15	-5	TRUE	Friendship	25
Ноябрь	2	Известная IT-компания проводит отбор на зимнюю стажировку.	Проходите техническое интервью на алгоритмы.	12000	0	10	Засыпались на вопросе про стек и кучу.	0	0	-5	TRUE	Knowledge	30
Ноябрь	2	Организаторы хакатона требуют оргвзнос за участие команды в финале.	Спокойно платите взнос за себя и друга.	-3000	15	10	Пропускаете финал из-за нехватки бюджета.	0	-10	-5	TRUE	Money	10000
Ноябрь	2	Конфликт со старостой из-за ваших частых пропусков лекций.	Староста молча покрывает вас перед деканатом.	0	15	0	Вам ставят кучу "н-ок", объяснительная.	0	-20	-10	TRUE	Friendship	30
Декабрь	2	Проверяется ваша финансовая подушка безопасности перед праздниками.	Спокойно покупаете билеты домой и подарки.	-5000	10	0	Влезаете в долги, сидите без подарков.	0	-15	0	TRUE	Money	10000
Декабрь	2	Преподаватель по информатике выставляет автоматы за семестр.	Получаете заслуженный автомат за лабы.	0	0	20	Вас ждет тяжелый устный экзамен.	0	0	-15	TRUE	Knowledge	45
Декабрь	2	Вы не успели сделать курсовой проект по ИТ вовремя.	Напарник сдал вашу общую часть за двоих.	0	10	15	Напарник сдал только себя, у вас долг.	0	-25	-10	TRUE	Friendship	35
Декабрь	2	На зачетной неделе проверяют ваши допуски по физике.	Все тесты сданы, допуск получен автоматом.	0	0	15	Вас отправляют на жесткую комиссию.	0	0	-20	TRUE	Knowledge	50
Январь	2	Вы в панике перед экзаменом по физике, ничего не понимаете в оптике.	Одногруппники за ночь объяснили вам курс.	0	10	20	Остались один на один с учебником.	0	-5	-15	TRUE	Friendship	35
Январь	2	Срочно нужно продлить хостинг для командного проекта по базам данных.	Оплачиваете долю, команда довольна.	-2000	15	0	Не можете скинуться, напарники злятся.	0	-25	0	TRUE	Money	8000
Январь	2	Экзамен по матану. Препод предлагает дополнительный сложный вопрос на отл.	Вы блестяще отвечаете и берете пятерку.	0	0	25	Вы завалили ответ и съехали на тройку.	0	0	-15	TRUE	Knowledge	55
Январь	2	Сосед по общаге празднует успешную сдачу сессии и мешает вам спать перед вашим экзаменом.	Вы вежливо просите его, он выключает звук.	0	5	10	Устраиваете драку, комендант пишет выговор.	0	-20	-10	TRUE	Friendship	40
Февраль	2	Кафедра распределяет темы курсовых проектов на второй семестр.	Забираете топовую тему по Android.	0	0	20	Вам достается унылая рутина по ГОСТам.	0	0	-15	TRUE	Knowledge	40
Февраль	2	Товарищи организуют загородную поездку на базу отдыха на выходные.	Вас зовут в основной состав, вышло дешево.	-2000	25	0	Зовут в последний момент по х2 прайсу.	-5000	-10	0	TRUE	Friendship	40
Февраль	2	Ломается блок питания вашего основного рабочего компьютера.	Покупаете новый качественный блок питания.	-4000	0	0	Комп стоит мертвым, лабы делать не на чем.	0	0	-20	TRUE	Money	12000
Февраль	2	На кафедре выбирают студентов для бесплатной поездки на ИТ-выставку.	Вас берут за высокая успеваемость.	0	0	15	Оставляют учиться в Москве.	0	0	-5	TRUE	Knowledge	45
Март	2	Внезапная летучка-тест по базам данных (SQL) от строгого препода.	Идеально пишете сложные SQL-запросы.	0	0	15	Путаете операторы, получаете минус.	0	0	-15	TRUE	Knowledge	45
Март	2	Празднование дня рождения друга. Нужен крутой подарок от компании.	Скидываетесь по минимуму, все довольны.	-1500	15	0	Из-за плохих отношений платите полную цену.	-4000	-10	0	TRUE	Friendship	45
Март	2	Пришло время оплачивать подписку на профессиональный софт для разработки.	Покупаете лицензию без ущерба бюджету.	-3000	0	15	Переходите на кривой пиратский софт.	0	0	-10	TRUE	Money	15000
Март	2	Спор между вашей группой и параллельным потоком за время сдачи лаб.	Ваше слово имеет вес, группа забирает лучшее время.	0	20	0	Вас проигнорировали, сдаете лабы вечером.	0	-15	0	TRUE	Friendship	50
Апрель	2	Вы сильно заболели весной и пропустили неделю важных занятий.	Одногруппники приносят конспекты и еду.	0	10	10	Никто не заметил, остались без лекций.	-1000	-15	-10	TRUE	Friendship	45
Апрель	2	Проверка готовности курсового на кафедре перед майскими дедлайнами.	Код одобрен, допущены без правок.	0	0	20	Код признан сырым, переделываете с нуля.	0	0	-20	TRUE	Knowledge	50
Апрель	2	Друг предлагает выкупить у него старый, но мощный графический планшет.	Забираете крутой девайс по дешевке.	-6000	10	15	Упускаете выгоду, планшет уходит чужаку.	0	-5	0	TRUE	Money	18000
Апрель	2	Внеплановая проверка посещаемости лекций деканским контролем.	Вы были на всех парах, к вам ноль вопросов.	0	0	10	У вас куча пропусков, вызывают к декану.	0	0	-15	TRUE	Knowledge	55
Май	2	Появилась возможность купить путевку в лагерь Бауманца по скидке.	Покупаете путевку, обеспечив летний отдых.	-8000	15	0	Проведете лето на раскаленном асфальте.	0	-5	0	TRUE	Money	20000
Май	2	Наступает суровый РК2 по технологии программирования.	Сдаете с первого раза и идете отдыхать.	0	0	15	Завалили РК2. Ждете в очередях на кафедре.	0	0	-20	TRUE	Knowledge	55
Май	2	Вам нужно срочно уехать, но подходит ваша очередь дежурить по общаге.	Друг согласился отдежурить за вас.	0	10	0	Вас жестко штрафует комендант.	-2000	-15	0	TRUE	Friendship	50
Май	2	Напарник по проекту сломал свою часть кода и просит вас оплатить фикс фрилансеру.	Спокойно гасите проблему деньгами.	-4000	15	0	Проект разваливается, у обоих трояки.	0	-20	-15	TRUE	Money	15000
Июнь	2	Вы запутались в билетах по сетям прямо перед дверью аудитории.	Друг отдает свой микронаушник со шпорой.	0	10	15	Идете отвечать только с тем, что выучили.	0	-10	-10	TRUE	Friendship	50
Июнь	2	Одногруппники организуют выпускной сабантуй с арендой коттеджа.	Оплачиваете взнос без ущерба кошельку.	-5000	25	0	Остаетесь один в общаге, пока все тусят.	0	-20	0	TRUE	Money	15000
Июнь	2	Сложнейший экзамен по схемотехнике у самого жесткого препода.	Поражаете препода знаниями, получаете 5.	0	0	30	Отправлены на пересдачу до осени.	0	0	-20	TRUE	Knowledge	65
Июнь	2	Группа решает, кого выдвинуть на получение престижной студенческой премии.	Поток дружно голосует за вашу кандидатуру.	5000	20	0	Выдвигают другого, вы остаетесь в тени.	0	-10	0	TRUE	Friendship	55
Июль	2	Защита отчетов по летней проектной практике.	Ваше приложение хвалят, отчет принят.	0	0	20	Отчет завернули из-за плохой архитектуры.	0	0	-15	TRUE	Knowledge	60
Июль	2	Проверяется, насколько сплоченной стала ваша компания к середине лета.	Друзья зовут в трип, деля расходы поровну.	-3000	20	0	Вас не берут, проводите июль в одиночестве.	0	-25	0	TRUE	Friendship	55
Июль	2	На летних каникулах резко дорожает аренда серверов для ваших личных проектов.	Спокойно продлеваете аренду хостинга.	-4000	0	10	Теряете все наработки и сервер за долги.	0	0	-20	TRUE	Money	22000
Июль	2	Летняя школа от Яндекса проводит жесткий добор по результатам года.	Вас зачисляют на крутой интенсив.	0	0	25	Не прошли по общему рейтингу оценок.	0	0	-10	TRUE	Knowledge	65
Август	2	Комендант общаги внезапно поднимает залог за следующий год.	Спокойно вносите сумму, сохраняя жилье.	-10000	0	0	Срочно ищете варианты, тратите нервы.	0	-10	-5	TRUE	Money	25000
Август	2	Отбор лучших студентов курса в закрытый R&D проект с будущей ЗП.	Вас берут в команду разработчиков.	15000	0	15	Не хватило навыков, берут одногруппника.	0	0	-10	TRUE	Knowledge	65
Август	2	Организуется традиционный летний сбор бауманцев на природе.	Вы едете главным организатором, макс респект.	-2000	30	0	Вас забыли пригласить, сидите дома.	0	-20	0	TRUE	Friendship	60
Август	2	Появился шанс выкупить уезжающего старшекурсника место в крутой автошколе со скидкой.	Записываетесь на курсы вождения.	-15000	5	10	Упускаете шанс, автошкола выйдет дороже.	0	0	0	TRUE	Money	30000
